Period End,Staff,Students,Other,Total
2021-01-13,29,31,5,65
2021-01-14,27,32,5,64
2021-01-15,26,35,5,66
2021-01-16,23,35,5,63
2021-01-17,23,30,5,58
2021-01-18,23,29,5,57
2021-01-19,22,31,5,58
2021-01-20,23,30,3,56
2021-01-21,18,33,1,52
2021-01-22,12,30,2,44
2021-01-23,10,27,1,38
2021-01-24,10,25,1,36
2021-01-25,11,20,1,32
2021-01-26,12,19,1,32
2021-01-27,10,20,1,31
2021-01-28,8,19,1,28
2021-01-29,7,16,1,24
2021-01-30,7,15,1,23
2021-01-31,7,13,1,21
2021-02-01,7,18,0,25
2021-02-02,7,19,0,26
2021-02-03,7,16,0,23
2021-02-04,5,18,0,23
2021-02-05,5,16,0,21
2021-02-06,6,17,0,23
2021-02-07,7,16,0,23
2021-02-08,7,18,0,25
2021-02-09,7,17,0,24
2021-02-10,6,18,0,24
2021-02-11,6,13,0,19
2021-02-12,6,12,0,18
2021-02-13,5,13,0,18
2021-02-14,5,9,0,14
2021-02-15,4,11,0,15
2021-02-16,4,9,0,13
2021-02-17,4,10,0,14
2021-02-18,4,11,0,15
2021-02-19,5,11,0,16
2021-02-20,5,9,0,14
2021-02-21,5,9,0,14
2021-02-22,6,10,0,16
2021-02-23,6,10,0,16
2021-02-24,6,10,0,16
2021-02-25,7,8,0,15
2021-02-26,6,7,0,13
2021-02-27,5,6,0,11
2021-02-28,4,4,0,8
